,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均,平均タイム差,平均タイム差合計,平均タイム差平均,上り平均,勝率,本番年齢
161,161,2010/03/27,3中山1,晴,11.0,日経賞(G2),,15.0,3.0,4,3.7,2.0,4,後藤浩輝,58.0,芝2500,稍,7.0,2:34.2,0.1,115.0,7-6-7-7,29.8-36.5,34.9,494(+4),,直線不利,マイネルキッツ,960.0,5,31135.199999999997,1153.1555555555553,0.7074074074074074,105.33333333333333,0,0,0.0,35.629629629629626,0.6666666666666666,7
162,162,2010/05/02,3京都4,晴,10.0,天皇賞(春)(G1),,18.0,7.0,14,13.3,5.0,10,福永祐一,56.0,芝3200,良,-11.0,3:17.7,2.0,96.0,12-12-11-11,37.2-34.2,35.4,498(+2),,4角不利,ジャガーメイル,0.0,6,19518.600000000002,722.9111111111112,0.4555555555555556,97.0,2,29,1.16,35.140740740740746,0.7336956521739131,5
163,163,2010/05/29,4京都3,晴,10.0,金鯱賞(G2),,14.0,4.0,6,9.1,4.0,3,池添謙一,57.0,芝2000,良,-10.0,2:00.1,0.6,95.0,13-13-11-10,37.0-34.2,33.8,458(+2),,出遅れ,アーネストリー,1614.6,7,18337.6,764.0666666666666,0.36666666666666664,97.54166666666667,0,19,0.8260869565217391,34.17916666666668,0.7852941176470588,5
164,164,2010/05/02,3京都4,晴,10.0,天皇賞(春)(G1),,18.0,6.0,12,5.9,2.0,1,ウィリア,58.0,芝3200,良,-11.0,3:15.7,-0.1,109.0,9-8-7-5,37.2-34.2,33.7,472(-8),,,(マイネルキッツ),13594.8,8,30708.699999999997,2047.2466666666664,0.18000000000000002,104.0,0,20,1.3333333333333333,34.980000000000004,0.8903508771929824,6
165,165,2010/05/29,4京都3,晴,10.0,金鯱賞(G2),,14.0,3.0,4,3.5,2.0,8.0,岩田康誠,57.0,芝2000,良,-10.0,2:00.3,0.8,92.0,2-2-3-3,37.0-34.2,34.6,502(+6),,,アーネストリー,0.0,9.0,18588.100000000002,929.4050000000001,0.32,100.45,0,2,0.10526315789473684,35.239999999999995,0.8083623693379791,5
166,166,2010/05/02,3京都4,晴,10.0,天皇賞(春)(G1),,18.0,2.0,3,2.6,1.0,6,内田博幸,58.0,芝3200,良,-11.0,3:17.3,1.6,101.0,11-10-8-7,37.2-34.2,35.1,484(0),,出遅れ,ジャガーメイル,0.0,10,23127.9,1651.9928571428572,0.4571428571428572,95.92857142857143,2,3,0.23076923076923078,35.22857142857143,0.819672131147541,4
167,167,2010/03/21,1阪神8,晴,11.0,阪神大賞典(G2),,14.0,1.0,1,4.5,2.0,9,川田将雅,57.0,芝3000,良,4.0,3:08.0,0.7,105.0,8-8-8-8,37.2-37.4,36.7,470(+14),,,トウカイトリック,0.0,11,12012.5,1001.0416666666666,0.5750000000000001,93.58333333333333,2,-3,-0.2727272727272727,35.18333333333334,0.75,4
168,168,2010/06/13,3東京8,曇,10.0,ジューンS(1600万下),,15.0,3.0,4,28.5,10.0,1,三浦皇成,55.0,芝2400,良,-11.0,2:25.9,0.0,99.0,13-13-14-13,36.0-35.2,34.0,530(0),,,(スリーオリオン),1812.9,12,7211.4,277.36153846153843,0.5538461538461538,90.1923076923077,0,38,1.5833333333333333,35.15769230769231,0.717948717948718,6
169,169,2010/03/27,3中山1,晴,11.0,日経賞(G2),,15.0,8.0,15,3.0,1.0,6,横山典弘,58.0,芝2500,稍,7.0,2:34.4,0.3,113.0,2-2-2-2,29.8-36.5,35.5,530(+24),,直線不利,マイネルキッツ,0.0,13,31499.100000000002,4499.871428571429,0.014285714285714303,101.57142857142857,0,13,1.8571428571428572,36.42857142857143,0.8021978021978022,4
170,170,2010/05/30,3東京4,曇,12.0,目黒記念(G2),,12.0,7.0,9,4.1,1.0,9,岩田康誠,56.0,芝2500,良,-7.0,2:35.4,0.6,81.0,12-12-12-12,30.6-34.0,33.2,454(-2),,出遅れ,コパノジングー,0.0,14,15938.700000000003,692.9869565217392,0.30434782608695654,93.91304347826087,4,9,0.391304347826087,34.7304347826087,0.7898550724637681,4
171,171,2010/05/29,4京都3,晴,10.0,金鯱賞(G2),,14.0,5.0,8,5.6,3.0,7,藤田伸二,57.0,芝2000,良,-10.0,2:00.3,0.8,93.0,6-6-5-4,37.0-34.2,34.4,526(-6),,,アーネストリー,0.0,15,19356.9,1075.3833333333334,0.23888888888888882,101.27777777777777,0,2,0.1111111111111111,35.67777777777778,0.8649789029535865,7
172,172,2010/06/13,3東京8,曇,11.0,エプソムC(G3),,18.0,1.0,2,3.6,1.0,1,福永祐一,57.0,芝1800,良,-11.0,1:46.1,0.0,103.0,5-8-6,35.1-35.2,34.6,524(0),,,(シルポート),4165.1,16,23168.5,1930.7083333333333,0.4333333333333333,101.75,0,-3,-0.25,35.46666666666666,0.8023255813953488,4
173,173,2010/05/30,3東京4,曇,12.0,目黒記念(G2),,12.0,5.0,5,158.9,12.0,12,和田竜二,54.0,芝2500,良,-7.0,2:36.5,1.7,73.0,9-8-8-8,30.6-34.0,34.8,506(0),,,コパノジングー,0.0,17,12327.8,474.1461538461538,1.0192307692307694,98.61538461538461,5,23,0.92,35.692307692307686,0.5386819484240688,8
174,174,2009/05/03,3京都4,曇,10,天皇賞(春)(G1),,18,6,12,8.6,5,3,池添謙一,58,芝3200,良,-7,3:14.7,0.3,115,12-12-11-7,36.4-35.1,34.9,426(-2),,出遅れ,マイネルキッツ,3355.8,1,42473.5,2123.675,0.3549999999999999,107.4,0,-14,-0.7,34.46,0.75177304964539,5
