,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
133,133,2020/05/03,高知,雨,1,C3ー16,,11,4,4,2.3,2.0,2,宮川実,56.0,ダ1300,重,2.0,1:26.8,1.6,32.0,2-2-2-2,0.0-40.0,41.4,496(+3),,,ソングオブファイア,14.0,12,3528.8999999999996,29.905932203389828,1.5838983050847464,58.57627118644068
134,134,2020/11/23,佐賀,晴,6,JRA認定カペラ賞(G),,10,8,10,1.9,1,5,山口勲,55,ダ1800,重,-2.0,2:01.5,1.9,29.0,5-5-2-4,0.0-39.3,41.1,453(+2),,,プリマステラ,18.0,1,880.8,67.75384615384615,0.8076923076923077,40.23076923076923
135,135,2020/09/19,佐賀,晴,6,さがけいば最終レース,,9,6,6,3.1,2.0,2.0,兒島真二,54,ダ1300,重,-2.0,1:25.9,1.1,22.0,6-6-6-6,0.0-39.7,39.5,413(-1),,,ポストモダン,12.0,3.0,778.4,38.92,0.615,37.95
136,136,2020/12/20,佐賀,曇,5,たんぽぽ賞チャレンジ,,12,7,10,1.4,1,2,田中純,55,ダ1400,良,13.0,1:32.1,0.2,45.0,1-1-1-1,0.0-40.3,40.5,510(-3),,,テイエムサツマッコ,15.0,4,695.5,43.46875,0.9750000000000001,42.8125
137,137,2020/10/22,門別,曇,9,JRA認定ウィナーズ(OP),,7,4,4,5.8,4,7,宮崎光行,54,ダ1200,稍,-12.0,1:14.8,1.5,53.0,5-5,0.0-38.2,38.6,482(+4),,,グロリアスルカ,0.0,5,324.4,19.08235294117647,1.223529411764706,40.1764705882353
138,138,2021/04/04,佐賀,曇,5,ル・プランタン賞(G),,11,8,11,4.0,3.0,3,飛田愛斗,54,ダ1800,不,-8.0,1:58.8,0.6,46.0,1-1-1-2,0.0-39.5,40.1,403(+3),,,トゥルスウィー,60.0,6,1301.2,81.325,0.525,45.875
139,139,2021/02/01,浦和,曇,4,3歳二,,12,3,3,20.0,6.0,11,藤本現暉,54,ダ1400,重,-15.0,1:33.8,2.3,21.0,1-1-2-3,37.4-40.6,42.9,438(+5),,,レーヴプルーヴ,0.0,9,311.2,28.29090909090909,2.672727272727273,29.636363636363637
140,140,2020/09/20,佐賀,晴,11,シリウス特別,,9,8,9,2.4,2,2,山下裕貴,54,ダ1400,稍,5.0,1:31.6,0.2,42.0,1-1-1-1,0.0-39.2,39.4,416(-3),,,キングサリ,19.5,10,406.29999999999995,21.384210526315787,0.9684210526315793,36.31578947368421
141,141,2021/01/12,佐賀,曇,6,宝満山特別,,9,8,9,1.5,1.0,1.0,飛田愛斗,54.0,ダ1400,不,9.0,1:26.8,-1.6,101.0,1-1-1-1,0.0-37.1,37.1,526(-6),,,(パイロキネシスト),100.0,1.0,11100.2,231.2541666666667,0.29166666666666663,84.25
142,142,2020/09/10,笠松,曇,11,西日本ダービー(G),,12,6,7,3.6,2.0,8.0,山口勲,54.0,ダ1900,不,-2.0,2:10.1,4.5,19.0,7-7-9-7,0.0-40.2,43.4,461(-1),,,エアーポケット,0.0,2.0,2658.1,102.23461538461538,0.5346153846153847,61.46153846153846
143,143,2020/12/13,佐賀,晴,11,的場文男レジェンドカ,,9,7,7,4.1,2.0,4,倉富隆一,53.0,ダ1400,良,6.0,1:29.2,0.7,71.0,2-2-2-3,0.0-38.0,38.5,466(+5),,,データヴァリュー,5.1,3,1298.7,36.075,0.6972222222222223,64.61111111111111
144,144,2020/10/10,佐賀,曇,5,玄界灘賞,,9,5,5,24.1,4.0,2,長田進仁,55.0,ダ1400,良,2.0,1:29.8,0.3,60.0,5-5-4-3,0.0-39.4,39.1,487(-1),,,ジャングルキッド,36.0,4,2100.2,22.58279569892473,1.2408602150537629,64.2258064516129
145,145,2021/02/28,佐賀,晴,9,ウインターチャンピオ(G),,9,4,4,285.2,9.0,8.0,金山昇馬,56.0,ダ1400,稍,2.0,1:30.4,3.6,53.0,5-6-6-8,0.0-36.9,39.1,487(-2),,,ドラゴンゲート,0.0,5.0,6114.6,69.48409090909091,1.2215909090909092,67.07954545454545
146,146,2019/05/26,3京都12,晴,8,4歳以上1000万下,,15,4,6,27.8,8.0,10,宮崎北斗,57.0,ダ1400,良,1.0,1:25.7,1.5,82.0,2-3,34.9-37.2,38.4,524(-4),,出遅れ,グローリーグローリ,0.0,6,2555.4,88.11724137931034,0.9931034482758619,69.93103448275862
147,147,2020/10/24,佐賀,晴,11,クレセントC,,10,1,1,3.2,2.0,2.0,山口勲,56.0,ダ1400,重,-6.0,1:28.1,0.3,71.0,7-7-5-4,0.0-38.2,37.7,464(+22),,,コスモアモル,19.2,7.0,7807.700000000001,190.43170731707318,0.8804878048780491,82.85365853658537
