index,開催所,平均タイム,平均上り
443,小倉芝1800不良,113.53855721393,37.748125
444,小倉芝2000良,121.72237654321,35.6668
445,小倉芝2000稍重,123.558156028369,36.4204
446,小倉芝2000重,124.824358974359,37.0472
447,小倉芝2000不良,126.649746192893,37.9522580645161
448,小倉芝2600良,161.590766823161,35.8232
449,小倉芝2600稍重,163.727019498607,36.828275862069
450,小倉芝2600重,164.875362318841,36.8109090909091
451,小倉芝2600不良,168.7625,38.8733333333333
452,小倉ダ1000良,60.3521212121212,36.2604
453,小倉ダ1000稍重,60.0121842496285,36.0556
454,小倉ダ1000重,59.4240822320118,35.5516
455,小倉ダ1000不良,59.5002989536622,35.646
456,小倉ダ1700良,108.747091412742,38.7748
457,小倉ダ1700稍重,108.108599167822,38.2712
458,小倉ダ1700重,106.56989869754,37.7584
459,小倉ダ1700不良,107.009249329759,38.0888
460,小倉ダ2400良,157.505596107056,38.6875
461,小倉ダ2400稍重,156.379930795848,38.435652173913
462,小倉ダ2400重,154.11875,37.55
463,小倉ダ2400不良,156.467910447761,38.4945454545455
