,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,予想タイム差,着差平均_condision,勝率_condision,上り差平均,着差平均_speed,勝率_speed,着差平均,上り平均,着順平均,タイム計算平均,種牡馬成績,母父成績
55,55,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,8,16,19.6,8,15,松山弘平,56,ダ1800,良,**,1:54.4,3.3,**,12-12-15-16,37.2-37.1,38.9,496(+6),,,ハギノアレグリアス,,15,-1.6580003897875353,0.1,0.6666666666666666,0.037599999999997635,0.1,0.8545454545454545,0.4666666666666667,36.099999999999994,4.666666666666667,,,
56,56,2022/10/15,4阪神4,晴,11,太秦S(OP),,16,2,4,41.9,12.0,16,藤懸貴志,56,ダ1800,良,**,1:54.7,3.6,**,4-3-2-6,37.2-37.1,40.3,482(-10),,,ハギノアレグリアス,,16,-2.239375220297191,0.7473684210526315,0.7472118959107806,0.6381714285714298,0.8374999999999999,0.7385321100917431,0.9238095238095237,38.047619047619044,,,,
57,57,2022/04/17,2阪神8,晴,11,アンタレスS(G3),,16,4,8,3.8,2,1,横山和生,59,ダ1800,良,**,1:50.5,-0.1,**,12-12-12-11,36.6-37.1,36.3,464(+6),,,(グロリアムンディ),3857.4,1,-4.040661834918296,0.24047619047619045,0.8908450704225352,1.990823529411764,0.24999999999999997,0.8914473684210527,0.19999999999999998,36.68260869565216,2.4347826086956523,,,
58,58,2022/04/17,2阪神8,晴,11,アンタレスS(G3),,16,7,13,3.6,1,2,坂井瑠星,56,ダ1800,良,**,1:50.6,0.1,**,5-4-4-4,36.6-37.1,36.9,496(-8),,,オメガパフューム,1516.4,2,-6.77661016949199,-0.18333333333333335,1.0,0.9614000000000011,0.25,0.8295454545454546,0.21666666666666665,36.275000000000006,2.6666666666666665,,,
59,59,2022/04/17,2阪神8,晴,11,アンタレスS(G3),,16,5,10,69.4,13,3,小崎綾也,56,ダ1800,良,**,1:50.9,0.4,**,11-11-10-9,36.6-37.1,36.9,492(+2),,,オメガパフューム,958.2,3,-4.53208671728335,0.4892857142857142,0.7823834196891192,1.4185999999999992,0.50625,0.7664670658682635,0.5519999999999999,36.61600000000001,4.32,,,
60,60,2022/04/17,2阪神8,晴,11,アンタレスS(G3),,16,6,11,61.1,12,4,柴山雄一,54.0,ダ1800,良,**,1:51.0,0.5,**,12-12-12-12,36.6-37.1,36.9,466(+5),,,オメガパフューム,570.0,4,-4.651877842799632,0.47307692307692295,0.8218390804597702,1.109054545454545,0.41250000000000003,0.8198757763975155,0.7200000000000001,37.87333333333334,4.266666666666667,,,
61,61,2022/04/17,2阪神8,晴,11,アンタレスS(G3),,16,3,5,9.7,4,5,藤岡康太,57,ダ1800,良,**,1:51.0,0.5,**,3-3-3-1,36.6-37.1,37.5,502(-2),,,オメガパフューム,380.0,5,-3.0521895552480345,0.5526315789473686,0.7294117647058823,0.6496000000000001,0.3,0.772093023255814,0.4750000000000001,37.925,4.5,,,
62,62,2022/04/17,2阪神8,晴,11,アンタレスS(G3),,16,2,3,28.9,8,6,池添謙一,57.0,ダ1800,良,**,1:51.0,0.5,**,14-14-14-14,36.6-37.1,36.6,482(+8),,,オメガパフューム,,6,-5.258678112005496,0.75,0.7333333333333333,1.597999999999999,0.9666666666666667,0.6257309941520468,0.927027027027027,35.016216216216215,7.216216216216216,,100.0,
63,63,2022/04/17,2阪神8,晴,11,アンタレスS(G3),,16,2,4,15.7,6,7,藤岡佑介,56,ダ1800,良,**,1:51.0,0.5,**,16-16-16-16,36.6-37.1,36.0,488(+9),,,オメガパフューム,,7,-5.28211976371343,0.31176470588235294,0.8217391304347826,2.564766666666667,0.44599999999999995,0.7630769230769231,0.37631578947368416,35.38421052631579,3.9473684210526314,,,
64,64,2022/04/17,2阪神8,晴,11,アンタレスS(G3),,16,8,16,13.2,5,8,鮫島克駿,57,ダ1800,良,**,1:51.1,0.6,**,6-7-4-5,36.6-37.1,37.3,478(-4),,,オメガパフューム,,8,-4.829273122099124,0.47105263157894733,0.7756653992395437,0.9413357466063302,0.55625,0.7453416149068323,0.484,37.352000000000004,4.32,,,
